Fecha,Comunidad_Autonoma,Sensor,Valor
1991-01-01,Andalucia,Sensor_1,20.34
1991-01-02,Andalucia,Sensor_1,21.99
1991-01-03,Andalucia,Sensor_1,20.29
1991-01-04,Andalucia,Sensor_1,20.74
1991-01-05,Andalucia,Sensor_1,21.26
1991-01-06,Andalucia,Sensor_1,20.27
1991-01-07,Andalucia,Sensor_1,21.65
1991-01-08,Andalucia,Sensor_1,20.39
1991-01-09,Andalucia,Sensor_1,21.96
1991-01-10,Andalucia,Sensor_1,20.42
1991-01-11,Andalucia,Sensor_1,21.51
1991-01-12,Andalucia,Sensor_1,21.93
1991-01-13,Andalucia,Sensor_1,20.38
1991-01-14,Andalucia,Sensor_1,20.97
1991-01-15,Andalucia,Sensor_1,21.41
1991-01-16,Andalucia,Sensor_1,22.09
1991-01-17,Andalucia,Sensor_1,22.05
1991-01-18,Andalucia,Sensor_1,20.82
1991-01-19,Andalucia,Sensor_1,20.4
1991-01-20,Andalucia,Sensor_1,21.93
1991-01-21,Andalucia,Sensor_1,20.1
1991-01-22,Andalucia,Sensor_1,20.67
1991-01-23,Andalucia,Sensor_1,21.93
1991-01-24,Andalucia,Sensor_1,21.64
1991-01-25,Andalucia,Sensor_1,20.17
1991-01-26,Andalucia,Sensor_1,21.73
1991-01-27,Andalucia,Sensor_1,20.19
1991-01-28,Andalucia,Sensor_1,20.26
1991-01-29,Andalucia,Sensor_1,21.68
1991-01-30,Andalucia,Sensor_1,21.82
1991-01-31,Andalucia,Sensor_1,20.37
1991-02-01,Andalucia,Sensor_1,22.08
1991-02-02,Andalucia,Sensor_1,20.69
1991-02-03,Andalucia,Sensor_1,21.87
1991-02-04,Andalucia,Sensor_1,22.04
1991-02-05,Andalucia,Sensor_1,20.65
1991-02-06,Andalucia,Sensor_1,21.63
1991-02-07,Andalucia,Sensor_1,20.49
1991-02-08,Andalucia,Sensor_1,21.43
1991-02-09,Andalucia,Sensor_1,22.02
1991-02-10,Andalucia,Sensor_1,21.75
1991-02-11,Andalucia,Sensor_1,20.37
1991-02-12,Andalucia,Sensor_1,21.31
1991-02-13,Andalucia,Sensor_1,21.67
1991-02-14,Andalucia,Sensor_1,20.86
1991-02-15,Andalucia,Sensor_1,20.48
1991-02-16,Andalucia,Sensor_1,20.35
1991-02-17,Andalucia,Sensor_1,21.08
1991-02-18,Andalucia,Sensor_1,20.74
1991-02-19,Andalucia,Sensor_1,20.75
1991-02-20,Andalucia,Sensor_1,21.6
1991-02-21,Andalucia,Sensor_1,22.15
1991-02-22,Andalucia,Sensor_1,21.89
1991-02-23,Andalucia,Sensor_1,22.09
1991-02-24,Andalucia,Sensor_1,21.06
1991-02-25,Andalucia,Sensor_1,21.12
1991-02-26,Andalucia,Sensor_1,21.36
1991-02-27,Andalucia,Sensor_1,20.54
1991-02-28,Andalucia,Sensor_1,20.69
1991-03-01,Andalucia,Sensor_1,21.65
1991-03-02,Andalucia,Sensor_1,20.45
1991-03-03,Andalucia,Sensor_1,20.88
1991-03-04,Andalucia,Sensor_1,21.78
1991-03-05,Andalucia,Sensor_1,22.24
1991-03-06,Andalucia,Sensor_1,20.71
1991-03-07,Andalucia,Sensor_1,20.22
1991-03-08,Andalucia,Sensor_1,22.25
1991-03-09,Andalucia,Sensor_1,22.21
1991-03-10,Andalucia,Sensor_1,21.15
1991-03-11,Andalucia,Sensor_1,21.76
1991-03-12,Andalucia,Sensor_1,22.17
1991-03-13,Andalucia,Sensor_1,22.11
1991-03-14,Andalucia,Sensor_1,20.92
1991-03-15,Andalucia,Sensor_1,21.79
1991-03-16,Andalucia,Sensor_1,22.25
1991-03-17,Andalucia,Sensor_1,22.32
1991-03-18,Andalucia,Sensor_1,21.89
1991-03-19,Andalucia,Sensor_1,21.83
1991-03-20,Andalucia,Sensor_1,21.22
1991-03-21,Andalucia,Sensor_1,20.67
1991-03-22,Andalucia,Sensor_1,21.21
1991-03-23,Andalucia,Sensor_1,20.75
1991-03-24,Andalucia,Sensor_1,22.32
1991-03-25,Andalucia,Sensor_1,20.63
1991-03-26,Andalucia,Sensor_1,20.39
1991-03-27,Andalucia,Sensor_1,20.51
1991-03-28,Andalucia,Sensor_1,22.12
1991-03-29,Andalucia,Sensor_1,21.75
1991-03-30,Andalucia,Sensor_1,20.92
1991-03-31,Andalucia,Sensor_1,22.26
1991-04-01,Andalucia,Sensor_1,21.39
1991-04-02,Andalucia,Sensor_1,21.3
1991-04-03,Andalucia,Sensor_1,21.87
1991-04-04,Andalucia,Sensor_1,20.58
1991-04-05,Andalucia,Sensor_1,21.77
1991-04-06,Andalucia,Sensor_1,22.4
1991-04-07,Andalucia,Sensor_1,22.13
1991-04-08,Andalucia,Sensor_1,21.83
1991-04-09,Andalucia,Sensor_1,21.08
1991-04-10,Andalucia,Sensor_1,22.08
1991-04-11,Andalucia,Sensor_1,21.58
1991-04-12,Andalucia,Sensor_1,20.95
1991-04-13,Andalucia,Sensor_1,20.5
1991-04-14,Andalucia,Sensor_1,21.27
1991-04-15,Andalucia,Sensor_1,21.06
1991-04-16,Andalucia,Sensor_1,21.81
1991-04-17,Andalucia,Sensor_1,21.34
1991-04-18,Andalucia,Sensor_1,22.1
1991-04-19,Andalucia,Sensor_1,21.24
1991-04-20,Andalucia,Sensor_1,22.38
1991-04-21,Andalucia,Sensor_1,21.12
1991-04-22,Andalucia,Sensor_1,20.55
1991-04-23,Andalucia,Sensor_1,22.01
1991-04-24,Andalucia,Sensor_1,21.86
1991-04-25,Andalucia,Sensor_1,20.56
1991-04-26,Andalucia,Sensor_1,20.37
1991-04-27,Andalucia,Sensor_1,20.37
1991-04-28,Andalucia,Sensor_1,21.55
1991-04-29,Andalucia,Sensor_1,21.97
1991-04-30,Andalucia,Sensor_1,22.03
