Comunidad,Año,CO2_comunidad_total(CO2-eq(kt)),CO2_estatal(CO2-eq(kt)),CO2_comunidad_ajustado(CO2-eq(kt)),CO2_porcentaje_generacion(%),CO2_ajustado_solo_generacion,generacion_renovable(MWh),porcentaje_renovable(%),generacion_norenovable(MWh),porcentaje_no_renovable(%),demanda(MWh),porcentaje_demanda(%),generacion(MWh),porcentaje_generacion(%),eficiencia_CO2(MWh/(CO2-eq (kt)),CO2_España(CO2-eq(kt)),CO2_Comunidad(CO2-eq(kt)),porcentaje_CO2_Comunidad(%),intensidad_carbono(g_CO₂/kWh),sostenibilidad_energetica(%),porcentaje_generacion_renovable(%),porcentaje_generacion_no_renovable(%),balance_energetico(%),resto_energetico(MWh)
Andalucia,2017,50870.27,329616.46,72473.115586,21.987104523238916,11184.899436153848,13583186.790948246,15.950500190057607,24068055.30655281,13.783356316493327,40037812.48273188,14.964437888090876,37625305.789820164,14.483795926581351,2151.834752197745,329616.46,50870.27,15.433170418734548,297.27065870598227,56.43657793677275,36.076331175936886,63.92366882406312,93.97442931241007,-2412506.6929117143
Aragon,2017,16272.9,329616.46,72473.115586,21.987104523238916,3577.9395319621453,7432911.047500838,8.728338268516648,9086461.020511871,5.203658056558651,10659512.100354087,3.984073975367643,16486850.492219135,6.346584379547194,2539.5792576541526,329616.46,16272.9,4.936919715720507,217.01777023153883,81.8020462611539,44.99511856079298,55.00488143920702,154.66796544723167,5827338.391865049
Principado_de_Asturias,2017,25115.03,329616.46,72473.115586,21.987104523238916,5522.067897142811,2199705.567029305,2.5830760192706084,11404257.098177565,6.531019523886629,10571407.680265466,3.951144276157651,13652561.680789437,5.255529838460984,2065.2149358899183,329616.46,25115.03,7.6194708237567985,404.47119201907213,19.28845998553316,16.169594265759144,83.83040573424084,129.1461089545891,3081154.0005239714
Comunidad_de_Madrid,2017,21553.28,329616.46,72473.115586,21.987104523238916,4738.942201786348,463977.67085953814,0.5448409155471023,766408.2987053787,0.4389086916423032,28288049.40557809,10.572874291960709,1228348.6665255222,0.47285067959387944,161.72560585703712,329616.46,21553.28,6.538896752910944,3857.9780569883364,60.53922845607125,37.70992861887134,62.29007138112866,4.3422883243526345,-27059700.73905257
Comunidad_Valenciana,2017,25063.1,329616.46,72473.115586,21.987104523238916,5510.649993763892,3202986.642459708,3.761211550396341,13353107.746648733,7.647092366223576,26840722.695747156,10.031924891631178,16571466.110610152,6.379157014460065,2423.1456836779203,329616.46,25063.1,7.603716149369482,332.53847046373335,23.986825413459055,19.346269519741433,80.65373048025857,61.7400145981757,-10269256.585137004
Canarias,2017,14174.67,329616.46,72473.115586,21.987104523238916,3116.5995087241895,746204.406,0.8762548658799617,8191569.834,4.691169451597519,8937774.24,3.340561313881568,8937774.24,3.44058062552784,2628.3678127618327,329616.46,14174.67,4.300352597682773,348.69973497162187,9.109418843050053,8.348884028200738,91.65111597179926,100.0,0.0
Cantabria,2017,5863.84,329616.46,72473.115586,21.987104523238916,1289.288629875493,361874.69624638354,0.4249431668790317,1595906.0128272697,0.9139475932832639,4375963.558680321,1.6355497669275425,1961036.8421309416,0.7548977165686404,1237.8190390009,329616.46,5863.84,1.7789888284098432,657.452528262804,22.67518847211402,18.48392389245723,81.51607610754277,44.813829362014616,-2414926.7165493798
Castilla_y_Leon,2017,30323.97,329616.46,72473.115586,21.987104523238916,6667.362979495612,16097426.332137812,18.9029279889832,8146163.014777206,4.66516575663443,14014200.921253027,5.237914517127174,24122154.910079572,9.28578151573462,1221.796839294546,329616.46,30323.97,9.199774186034277,276.3999735657787,197.60746627506654,66.39869246170926,33.60130753829074,172.1265097141392,10107953.988826545
Castilla_La_Mancha,2017,17920.37,329616.46,72473.115586,21.987104523238916,3940.1704828511492,10731066.565625986,12.6013049756926,10592240.661753159,6.065991845682836,11673513.254303548,4.363064643083909,21261880.04953269,8.184723690304253,2688.2696339800254,329616.46,17920.37,5.436733954366235,185.31618434832387,101.31063774234383,50.32552620096046,49.674473799039546,182.13779850461302,9588366.79522914
Cataluna,2017,40364.06,329616.46,72473.115586,21.987104523238916,8874.888062022868,7490033.78876378,8.795416510860951,37143633.38691312,21.27151227384928,47653244.001204,17.810763520849566,44744561.33800757,17.224340949261983,4185.250915541904,329616.46,40364.06,12.245765881958686,198.34562674512654,20.16505415811787,16.781130170826458,83.21886982917354,93.89614972881397,-2908682.6631964296
